[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | NOTIC: [8] Undefined index: cid FckAction.class.php 第 239 行.
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | SQL: SELECT COUNT(*) AS tp_count FROM `xt_bonus` WHERE ( `uid` = '1' ) LIMIT 1   [ RunTime:0.000359s ]
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | NOTIC: [8] Undefined index: FanNowDate FckAction.class.php 第 266 行.
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | SQL: SELECT * FROM `xt_bonus` WHERE ( `uid` = '1' ) ORDER BY id desc LIMIT 0,10   [ RunTime:0.000362s ]
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | NOTIC: [8] Undefined offset: 0 FckAction.class.php 第 279 行.
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | NOTIC: [8] Undefined offset: 1 FckAction.class.php 第 279 行.
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | NOTIC: [8] Undefined offset: 2 FckAction.class.php 第 279 行.
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | NOTIC: [8] Undefined offset: 3 FckAction.class.php 第 279 行.
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | NOTIC: [8] Undefined offset: 4 FckAction.class.php 第 279 行.
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | NOTIC: [8] Undefined offset: 5 FckAction.class.php 第 279 行.
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | NOTIC: [8] Undefined offset: 6 FckAction.class.php 第 279 行.
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | NOTIC: [8] Undefined offset: 7 FckAction.class.php 第 279 行.
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | NOTIC: [8] Undefined offset: 8 FckAction.class.php 第 279 行.
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | NOTIC: [8] Undefined offset: 9 FckAction.class.php 第 279 行.
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | NOTIC: [8] Undefined offset: 10 FckAction.class.php 第 279 行.
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | NOTIC: [8] Undefined offset: 11 FckAction.class.php 第 279 行.
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | NOTIC: [8] Undefined offset: 12 FckAction.class.php 第 279 行.
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | NOTIC: [8] Undefined offset: 13 FckAction.class.php 第 279 行.
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | NOTIC: [8] Undefined offset: 14 FckAction.class.php 第 279 行.
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | NOTIC: [8] Undefined offset: 15 FckAction.class.php 第 279 行.
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | NOTIC: [8] Undefined offset: 16 FckAction.class.php 第 279 行.
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | NOTIC: [8] Undefined offset: 17 FckAction.class.php 第 279 行.
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | NOTIC: [8] Undefined offset: 18 FckAction.class.php 第 279 行.
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | NOTIC: [8] Undefined offset: 19 FckAction.class.php 第 279 行.
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | NOTIC: [8] Undefined offset: 20 FckAction.class.php 第 279 行.
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | NOTIC: [8] Undefined index: b21 FckAction.class.php 第 279 行.
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | NOTIC: [8] Undefined offset: 21 FckAction.class.php 第 279 行.
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | NOTIC: [8] Undefined index: b22 FckAction.class.php 第 279 行.
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | NOTIC: [8] Undefined offset: 22 FckAction.class.php 第 279 行.
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | NOTIC: [8] Undefined index: b23 FckAction.class.php 第 279 行.
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | NOTIC: [8] Undefined offset: 23 FckAction.class.php 第 279 行.
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | NOTIC: [8] Undefined index: b24 FckAction.class.php 第 279 行.
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | NOTIC: [8] Undefined offset: 24 FckAction.class.php 第 279 行.
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | NOTIC: [8] Undefined offset: 25 FckAction.class.php 第 279 行.
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | SQL: SELECT `s18` FROM `xt_fee` LIMIT 1   [ RunTime:0.000238s ]
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | INFO: Tag[ view_template ] --START--
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | INFO: Run LocationTemplate Behavior [ RunTime:0.001035s ]
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | INFO: Tag[ view_template ] --END-- [ RunTime:0.001116s ]
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | INFO: Tag[ view_parse ] --START--
[ 2014-10-07T09:12:09+08:00 ] /ak911/index.php/Fck/financeTable | INFO: Run ParseTemplate Behavior [ RunTime:0.018005s ]
[ 2014-10-07T09:12:09+08:00 ] /ak911/index.php/Fck/financeTable | INFO: Tag[ view_parse ] --END-- [ RunTime:0.018093s ]
[ 2014-10-07T09:12:09+08:00 ] /ak911/index.php/Fck/financeTable | INFO: Tag[ view_filter ] --START--
[ 2014-10-07T09:12:09+08:00 ] /ak911/index.php/Fck/financeTable | INFO: Run ContentReplace Behavior [ RunTime:0.000555s ]
[ 2014-10-07T09:12:09+08:00 ] /ak911/index.php/Fck/financeTable | INFO: Run TokenBuild Behavior [ RunTime:0.000681s ]
[ 2014-10-07T09:12:09+08:00 ] /ak911/index.php/Fck/financeTable | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000450s ]
[ 2014-10-07T09:12:09+08:00 ] /ak911/index.php/Fck/financeTable | INFO: Run ShowRuntime Behavior [ RunTime:0.000639s ]
[ 2014-10-07T09:12:09+08:00 ] /ak911/index.php/Fck/financeTable | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002528s ]
[ 2014-10-07T09:12:09+08:00 ] /ak911/index.php/Fck/financeTable | INFO: Tag[ view_end ] --START--
[ 2014-10-07T09:12:09+08:00 ] /ak911/index.php/Fck/financeTable | INFO: Run ShowPageTrace Behavior [ RunTime:0.000548s ]
[ 2014-10-07T09:12:09+08:00 ] /ak911/index.php/Fck/financeTable | INFO: Tag[ view_end ] --END-- [ RunTime:0.000617s ]
[ 2014-10-07T09:12:10+08:00 ] /ak911/index.php/Fck/financeShow/RDT/1262275200/PDT/1412611199/cid/0 | INFO: Tag[ route_check ] --START--
[ 2014-10-07T09:12:10+08:00 ] /ak911/index.php/Fck/financeShow/RDT/1262275200/PDT/1412611199/cid/0 | INFO: Run CheckRoute Behavior [ RunTime:0.001400s ]
[ 2014-10-07T09:12:10+08:00 ] /ak911/index.php/Fck/financeShow/RDT/1262275200/PDT/1412611199/cid/0 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001571s ]
