[ 2014-10-23T09:56:04+08:00 ] /ak911/index.php/Index/index | SQL: UPDATE `xt_fck` SET `day_feng`=0,_times=1413993600 WHERE _times !=1413993600 [ RunTime:0.000296s ]
[ 2014-10-23T09:56:04+08:00 ] /ak911/index.php/Index/index | NOTIC: [2] mysql_num_rows() expects parameter 1 to be resource, boolean given DbMysql.class.php 第 132 行.
[ 2014-10-23T09:56:04+08:00 ] /ak911/index.php/Index/index | NOTIC: [2] mysql_free_result() expects parameter 1 to be resource, boolean given DbMysql.class.php 第 97 行.
[ 2014-10-23T09:56:04+08:00 ] /ak911/index.php/Index/index | SQL: SHOW COLUMNS FROM `xt_bonus` [ RunTime:0.006068s ]
[ 2014-10-23T09:56:04+08:00 ] /ak911/index.php/Index/index | NOTIC: [2] trim() expects parameter 1 to be string, array given Db.class.php 第 549 行.
[ 2014-10-23T09:56:04+08:00 ] /ak911/index.php/Index/index | SQL: SELECT SUM(b1) AS tp_sum FROM `xt_bonus` WHERE ( `uid` = '1' ) AND ( (`e_date` > 1413993600) AND (`e_date` < 1414080000)  ) LIMIT 1   [ RunTime:0.000268s ]
[ 2014-10-23T09:56:04+08:00 ] /ak911/index.php/Index/index | NOTIC: [2] trim() expects parameter 1 to be string, array given Db.class.php 第 549 行.
[ 2014-10-23T09:56:04+08:00 ] /ak911/index.php/Index/index | SQL: SELECT SUM(b2) AS tp_sum FROM `xt_bonus` WHERE ( `uid` = '1' ) AND ( (`e_date` > 1413993600) AND (`e_date` < 1414080000)  ) LIMIT 1   [ RunTime:0.000192s ]
[ 2014-10-23T09:56:04+08:00 ] /ak911/index.php/Index/index | NOTIC: [2] trim() expects parameter 1 to be string, array given Db.class.php 第 549 行.
[ 2014-10-23T09:56:04+08:00 ] /ak911/index.php/Index/index | SQL: SELECT SUM(b3) AS tp_sum FROM `xt_bonus` WHERE ( `uid` = '1' ) AND ( (`e_date` > 1413993600) AND (`e_date` < 1414080000)  ) LIMIT 1   [ RunTime:0.000175s ]
[ 2014-10-23T09:56:04+08:00 ] /ak911/index.php/Index/index | NOTIC: [2] trim() expects parameter 1 to be string, array given Db.class.php 第 549 行.
[ 2014-10-23T09:56:04+08:00 ] /ak911/index.php/Index/index | SQL: SELECT SUM(b4) AS tp_sum FROM `xt_bonus` WHERE ( `uid` = '1' ) AND ( (`e_date` > 1413993600) AND (`e_date` < 1414080000)  ) LIMIT 1   [ RunTime:0.000305s ]
[ 2014-10-23T09:56:04+08:00 ] /ak911/index.php/Index/index | NOTIC: [2] trim() expects parameter 1 to be string, array given Db.class.php 第 549 行.
[ 2014-10-23T09:56:04+08:00 ] /ak911/index.php/Index/index | SQL: SELECT SUM(b5) AS tp_sum FROM `xt_bonus` WHERE ( `uid` = '1' ) AND ( (`e_date` > 1413993600) AND (`e_date` < 1414080000)  ) LIMIT 1   [ RunTime:0.000343s ]
[ 2014-10-23T09:56:04+08:00 ] /ak911/index.php/Index/index | NOTIC: [2] trim() expects parameter 1 to be string, array given Db.class.php 第 549 行.
[ 2014-10-23T09:56:04+08:00 ] /ak911/index.php/Index/index | SQL: SELECT SUM(b6) AS tp_sum FROM `xt_bonus` WHERE ( `uid` = '1' ) AND ( (`e_date` > 1413993600) AND (`e_date` < 1414080000)  ) LIMIT 1   [ RunTime:0.000207s ]
[ 2014-10-23T09:56:04+08:00 ] /ak911/index.php/Index/index | SQL: SELECT `s2`,`i4`,`str29`,`str4`,`str5`,`str1` FROM `xt_fee` LIMIT 1   [ RunTime:0.000191s ]
[ 2014-10-23T09:56:04+08:00 ] /ak911/index.php/Index/index | SQL: SHOW COLUMNS FROM `xt_msg` [ RunTime:0.005208s ]
