[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | NOTIC: [2] mysql_free_result(): supplied argument is not a valid MySQL result resource DbMysql.class.php 第 97 行.
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: INSERT INTO `xt_history` (`user_id`,`uid`,`action_type`,`pdt`,`epoints`,`bz`,`did`,`type`,`allp`) VALUES ('100000','1',10,1412524800,-0.0162,10,0,1,0) [ RunTime:0.004056s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: SELECT `s6`,`s13` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.001878s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: UPDATE xt_fck SET `b7`=b7+0.09,b25=b25+0.05832 where `id`=1 [ RunTime:0.000620s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | NOTIC: [2] mysql_num_rows(): supplied argument is not a valid MySQL result resource DbMysql.class.php 第 132 行.
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead FckModel.class.php 第 89 行.
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | NOTIC: [2] mysql_free_result(): supplied argument is not a valid MySQL result resource DbMysql.class.php 第 97 行.
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: INSERT INTO `xt_history` (`user_id`,`uid`,`action_type`,`pdt`,`epoints`,`bz`,`did`,`type`,`allp`) VALUES ('111','1',7,1412524800,0.09,7,0,1,0) [ RunTime:0.000288s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead FckModel.class.php 第 89 行.
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: INSERT INTO `xt_history` (`user_id`,`uid`,`action_type`,`pdt`,`epoints`,`bz`,`did`,`type`,`allp`) VALUES ('111','1',25,1412524800,0.05832,25,0,1,0) [ RunTime:0.002216s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: SHOW COLUMNS FROM `xt_times` [ RunTime:0.004748s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.008188s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: SELECT * FROM `xt_times` WHERE ( `benqi` = 1412611199 ) AND ( `type` = 0 ) LIMIT 1   [ RunTime:0.000500s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: SELECT * FROM `xt_times` WHERE type=0 ORDER BY id desc LIMIT 1   [ RunTime:0.000406s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: INSERT INTO `xt_times` (`shangqi`,`benqi`,`is_count`,`type`) VALUES ('1412524799',1412611199,0,0) [ RunTime:0.000401s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: UPDATE xt_fck SET `b0`=b1+b2+b3+b4+b5+b6+b7+b8+b9+b10 [ RunTime:0.000650s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: UPDATE xt_fck SET b2=0,b3=0,b4=0,b5=0,b6=0,b7=0,b8=0,b9=0 where is_fenh=1 [ RunTime:0.000415s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: UPDATE xt_fck SET agent_zz=agent_zz+b25 where b25<>0 [ RunTime:0.000635s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: UPDATE xt_fck SET `b0`=b1+b2+b3+b4+b5+b6+b7+b8+b9 [ RunTime:0.000581s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: SHOW COLUMNS FROM `xt_bonus` [ RunTime:0.006871s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: SELECT `id` FROM `xt_times` WHERE ( `type` = 0 ) ORDER BY id desc LIMIT 1   [ RunTime:0.000343s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: SELECT * FROM `xt_fck` WHERE ( `is_tj` = 0 ) AND ( `is_pay` > 0 ) AND ( b0<>0 or b1<>0 or b2<>0 or b3<>0 or b4<>0 or b5<>0 or b6<>0 or b7<>0 or b8<>0 or b9<>0 or b10<>0 ) ORDER BY id asc  [ RunTime:0.001312s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: update xt_fck set agent_use=agent_use+51.93,zjj=zjj+b11+b12+b13+b14+b15+b16+b17+b18+b19,is_tj=1 where id=1 and b0=51.93 and is_tj=0 [ RunTime:0.000545s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: SELECT * FROM `xt_bonus` WHERE ( `did` = '96' ) AND ( `uid` = '1' ) LIMIT 1   [ RunTime:0.000386s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: INSERT INTO `xt_bonus` (`e_date`,`s_date`,`user_id`,`did`,`uid`,`b0`,`b1`,`b2`,`b3`,`b4`,`b5`,`b6`,`b7`,`b8`,`b9`,`b10`,`b11`,`b12`,`b13`,`b14`,`b15`,`b16`,`b17`,`b18`,`b19`,`b20`,`b25`) VALUES (1412611199,'1412524799','100000','96','1','51.93','51.84','0.00','0.00','0.00','0.00','0.00','0.09','0.00','0.00','-9.62','96.00','0.00','0.00','0.00','0.00','0.00','0.16','0.00','0.00','0.00','34.62') [ RunTime:0.000846s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: update xt_fck set b0=0,b1=0,b2=0,b3=0,b4=0,b5=0,b6=0,b7=0,b8=0,b9=0,b10=0,b11=0,b12=0,b13=0,b14=0,b15=0,b16=0,b17=0,b18=0,b19=0,b20=0,b25=0,is_tj=0 where id=1 [ RunTime:0.000615s ]
